id_klienta;imie;nazwisko;data_urodzenia;miejsce_zamieszkania
102;Gabriel;Mazur;2000-01-11;Miasto
103;Ignacy;Szewczyk;1994-01-10;Wies
104;Piotr;Pietrzak;1985-08-15;Miasto
105;Dawid;Gorski;1952-02-24;Wies
106;Dawid;Olszewski;1995-09-23;Wies
107;Jan;Szewczyk;2003-02-19;Miasto
108;Adam;Kwiatkowski;1987-05-29;Wies
109;Maksymilian;Wojciechowski;2005-02-03;Wies
110;Marek;Michalski;1994-09-26;Wies
111;Karol;Wieczorek;1959-05-15;Wies
112;Artur;Mazur;1981-11-14;Wies
113;Dominik;Kwiatkowski;1970-01-18;Miasto
114;Antoni;Wrobel;1996-11-15;Miasto
115;Rafal;Michalski;1988-10-03;Miasto
116;Dawid;Kwiatkowski;1973-12-12;Miasto
117;Wojciech;Pietrzak;1960-01-08;Wies
118;Wojciech;Michalak;1984-03-30;Miasto
119;Maciej;Szewczyk;1975-06-26;Wies
120;Dawid;Nowakowski;1953-08-26;Miasto
121;Andrzej;Ostrowski;1979-11-26;Miasto
122;Jacek;Rutkowski;2006-11-05;Miasto
123;Jan;Zalewski;1984-04-26;Wies
124;Karol;Zajac;1978-03-24;Wies
125;Kacper;Zajac;1951-05-15;Miasto
126;Adam;Kaminski;1985-06-20;Wies
127;Nikodem;Jablonski;1988-07-07;Wies
128;Mikolaj;Olszewski;1951-01-23;Miasto
129;Marek;Gorski;1969-12-07;Miasto
130;Rafal;Adamczyk;1955-06-18;Wies
131;Mateusz;Wisniewski;1957-07-08;Miasto
132;Jacek;Kowalski;1991-08-25;Miasto
133;Mariusz;Wojciechowski;1971-10-23;Wies
134;Michal;Zielinski;2006-11-17;Wies
135;Leon;Zielinski;2003-11-04;Wies
136;Jan;Wisniewski;1965-06-20;Miasto
137;Aleksander;Sikora;1955-11-16;Miasto
138;Krzysztof;Nowicki;1978-01-22;Miasto
139;Leon;Kozlowski;1994-10-03;Wies
140;Maciej;Sikora;1972-10-03;Wies
141;Michal;Grabowski;1987-11-22;Miasto
142;Zbigniew;Pietrzak;1990-07-31;Wies
143;Mateusz;Jablonski;1997-08-05;Miasto
144;Kacper;Michalak;1998-06-26;Wies
145;Mateusz;Dabrowski;1989-05-04;Miasto
146;Ryszard;Wojcik;1995-03-19;Miasto
147;Wojciech;Dabrowski;1951-09-04;Miasto
148;Maciej;Ostrowski;1964-12-27;Miasto
149;Adam;Lewandowski;1951-01-04;Miasto
150;Mateusz;Pietrzak;1964-01-21;Miasto
151;Antoni;Walczak;1964-11-30;Miasto
152;Rafal;Majewski;1955-06-05;Wies
153;Antoni;Olszewski;1960-05-30;Wies
154;Krzysztof;Szymanski;1973-07-04;Wies
155;Jan;Olszewski;1963-12-13;Miasto
156;Marek;Ostrowski;1998-04-01;Miasto
157;Andrzej;Adamczyk;1954-04-17;Wies
158;Wiktor;Dabrowski;1998-12-09;Wies
159;Henryk;Szewczyk;1962-10-04;Wies
160;Piotr;Wroblewski;1964-10-21;Miasto
161;Rafal;Rutkowski;1996-02-13;Miasto
162;Gabriel;Pawlowski;1959-10-26;Wies
163;Mikolaj;Wrobel;1965-06-25;Wies
164;Jan;Stepien;1954-01-24;Miasto
165;Kacper;Piotrowski;1970-11-16;Wies
166;Tomasz;Kaczmarek;1989-01-23;Miasto
167;Adam;Krol;1969-10-01;Wies
168;Aleksander;Gorski;1980-08-02;Wies
169;Damian;Zalewski;1979-03-25;Miasto
170;Szymon;Kowalczyk;1971-07-01;Miasto
171;Henryk;Mazur;1986-06-21;Miasto
172;Grzegorz;Jaworski;1986-01-07;Miasto
173;Lukasz;Piotrowski;1951-03-05;Wies
174;Marcin;Pawlowski;1961-01-16;Miasto
175;Karol;Jankowski;1952-08-26;Wies
176;Grzegorz;Stepien;1996-07-05;Wies
177;Rafal;Dabrowski;1982-07-28;Miasto
178;Krzysztof;Wieczorek;1971-05-09;Wies
179;Adam;Kaczmarek;2002-08-27;Miasto
180;Stanislaw;Pawlak;1957-04-20;Wies
181;Tomasz;Kowalczyk;1997-04-03;Miasto
182;Jerzy;Tomaszewski;1964-04-22;Miasto
183;Kamil;Sikora;1982-06-28;Miasto
184;Sebastian;Wojcik;1987-03-16;Miasto
185;Szymon;Stepien;1998-01-26;Miasto
186;Karol;Kaminski;1954-07-12;Miasto
187;Franciszek;Szewczyk;1970-02-26;Miasto
188;Maciej;Pawlowski;1977-08-24;Wies
189;Gabriel;Kozlowski;1964-06-22;Wies
190;Grzegorz;Kozlowski;1976-02-23;Miasto
191;Jan;Nowakowski;1967-06-07;Miasto
192;Antoni;Nowakowski;1987-09-13;Miasto
193;Jacek;Kaminski;1973-02-24;Wies
194;Maksymilian;Kaczmarek;1968-04-19;Wies
195;Kacper;Wrobel;1979-12-16;Miasto
196;Grzegorz;Wisniewski;1990-01-11;Miasto
197;Ignacy;Nowicki;1991-05-29;Miasto
198;Dariusz;Gorski;2004-11-22;Wies
199;Kamil;Pawlak;1979-06-19;Wies
200;Adam;Walczak;1951-03-04;Miasto
201;Robert;Lewandowski;1965-07-25;Miasto
202;Kazimierz;Krawczyk;1999-12-08;Wies
203;Maksymilian;Kozlowski;1981-09-02;Miasto
204;Jakub;Lewandowski;1987-01-03;Miasto
205;Jakub;Jankowski;1976-07-02;Miasto
206;Grzegorz;Szewczyk;1979-07-09;Wies
207;Wojciech;Majewski;1988-07-22;Miasto
208;Leon;Adamczyk;1976-05-22;Wies
209;Ryszard;Wroblewski;1998-08-31;Miasto
210;Dawid;Mazur;1955-08-13;Wies
211;Marcin;Krawczyk;1961-07-20;Miasto
212;Henryk;Sikora;2005-11-28;Wies
213;Wojciech;Kozlowski;1968-05-03;Miasto
214;Wojciech;Szymanski;1964-07-31;Miasto
215;Franciszek;Nowakowski;1988-09-05;Wies
216;Marcin;Zielinski;1978-01-28;Wies
217;Kazimierz;Krol;1952-10-05;Wies
218;Maksymilian;Wrobel;1965-05-25;Miasto
219;Henryk;Ostrowski;1975-11-26;Miasto
220;Mateusz;Kozlowski;1958-05-15;Miasto
221;Mikolaj;Pietrzak;1969-12-18;Wies
222;Jacek;Dabrowski;1958-07-13;Miasto
223;Marcin;Zalewski;1993-09-30;Wies
224;Dawid;Kowalski;1989-06-14;Miasto
225;Tadeusz;Kaczmarek;1964-02-22;Wies
226;Mateusz;Wieczorek;1959-03-01;Miasto
227;Antoni;Michalak;1999-02-07;Miasto
228;Aleksander;Nowakowski;1986-01-24;Wies
229;Stanislaw;Tomaszewski;1976-04-20;Wies
230;Henryk;Dabrowski;1954-11-15;Wies
231;Kazimierz;Kwiatkowski;1995-02-19;Wies
232;Jakub;Kowalski;1951-01-20;Wies
233;Mateusz;Wrobel;1954-08-04;Wies
234;Zbigniew;Nowakowski;2001-02-15;Wies
235;Wojciech;Wisniewski;2002-09-23;Wies
236;Patryk;Krol;1954-11-12;Miasto
237;Damian;Nowakowski;1985-05-28;Wies
238;Jozef;Walczak;1962-12-26;Wies
239;Kamil;Szymanski;1994-06-07;Miasto
240;Andrzej;Szymanski;1993-08-31;Wies
241;Kazimierz;Lewandowski;1995-05-31;Wies
242;Jan;Nowak;1993-09-17;Miasto
243;Andrzej;Wroblewski;1986-09-28;Miasto
244;Jacek;Wisniewski;1992-03-06;Miasto
245;Antoni;Kozlowski;2002-10-18;Wies
246;Zbigniew;Malinowski;1989-01-17;Wies
247;Artur;Majewski;1983-08-29;Miasto
248;Filip;Michalak;1992-04-21;Wies
249;Andrzej;Kaczmarek;1976-08-27;Miasto
250;Krzysztof;Michalak;1963-12-22;Wies
251;Damian;Krawczyk;1986-12-25;Wies
252;Kamil;Gorski;1975-02-03;Miasto
253;Dawid;Tomaszewski;1960-08-17;Miasto
254;Zbigniew;Walczak;1957-09-10;Miasto
255;Dawid;Krol;1962-12-10;Miasto
256;Andrzej;Nowicki;1970-03-21;Wies
257;Rafal;Szymanski;1997-09-24;Wies
258;Karol;Rutkowski;1953-10-03;Wies
259;Dominik;Nowicki;1975-06-27;Wies
260;Kazimierz;Stepien;1960-07-03;Miasto
261;Jakub;Walczak;1951-04-19;Miasto
262;Antoni;Zielinski;1955-05-06;Wies
263;Dariusz;Kaczmarek;1972-08-02;Wies
264;Lukasz;Kwiatkowski;1973-05-12;Miasto
265;Sebastian;Pawlak;1972-04-26;Miasto
266;Pawel;Mazur;1994-04-14;Miasto
267;Kamil;Witkowski;2000-10-10;Miasto
268;Piotr;Kwiatkowski;1960-07-14;Wies
269;Marek;Zajac;1980-08-18;Wies
270;Jan;Jaworski;1959-08-26;Miasto
271;Damian;Jaworski;2005-01-10;Miasto
272;Pawel;Kozlowski;2001-06-30;Miasto
273;Lukasz;Nowakowski;1997-02-03;Wies
274;Jan;Mazur;1969-04-27;Miasto
275;Maciej;Tomaszewski;1961-08-30;Wies
276;Franciszek;Wroblewski;2005-07-07;Wies
277;Kamil;Wroblewski;1971-07-17;Miasto
278;Tadeusz;Wieczorek;1972-01-19;Miasto
279;Patryk;Nowakowski;1991-10-30;Miasto
280;Aleksander;Kaczmarek;2003-04-09;Wies
281;Sebastian;Baran;1998-05-01;Miasto
282;Jozef;Kozlowski;1980-03-08;Miasto
283;Kamil;Jankowski;1972-01-07;Wies
284;Ignacy;Wroblewski;2001-03-31;Wies
285;Mikolaj;Walczak;1999-02-13;Miasto
286;Szymon;Pietrzak;1965-03-04;Wies
287;Patryk;Sikora;1996-01-06;Wies
288;Artur;Wrobel;2000-03-25;Wies
289;Jakub;Szewczyk;1993-06-14;Miasto
290;Leon;Michalski;2000-10-27;Miasto
291;Leon;Jaworski;1968-03-06;Miasto
292;Marcin;Kowalski;1956-12-18;Miasto
293;Jacek;Stepien;1987-03-26;Miasto
294;Grzegorz;Pawlowski;1965-04-30;Miasto
295;Kamil;Wieczorek;1960-04-27;Wies
296;Patryk;Gorski;1979-05-18;Wies
297;Tadeusz;Piotrowski;1953-07-29;Miasto
298;Andrzej;Wojcik;1977-01-13;Miasto
299;Nikodem;Krol;1972-12-14;Miasto
300;Artur;Wozniak;1998-12-25;Miasto
301;Kamil;Wisniewski;1954-08-07;Wies
302;Karol;Kozlowski;1981-04-28;Miasto
303;Nikodem;Zajac;1951-06-28;Wies
304;Mariusz;Pawlowski;2006-01-18;Miasto
305;Nikodem;Zielinski;1987-07-21;Wies
306;Piotr;Wieczorek;1975-09-07;Wies
307;Michal;Kowalczyk;2002-11-23;Wies
308;Stanislaw;Wozniak;1967-12-26;Wies
309;Jerzy;Grabowski;1970-11-06;Wies
310;Tomasz;Lewandowski;1999-07-14;Miasto
311;Artur;Jablonski;1968-07-10;Wies
312;Nikodem;Szewczyk;2001-11-19;Miasto
313;Jerzy;Kowalski;1988-03-07;Wies
314;Gabriel;Wozniak;1991-05-08;Miasto
315;Wojciech;Zielinski;2001-01-16;Miasto
316;Gabriel;Michalak;1950-08-08;Wies
317;Piotr;Mazur;1984-03-20;Wies
318;Jakub;Sikora;1974-06-25;Wies
319;Zbigniew;Zalewski;1996-06-04;Miasto
320;Stanislaw;Wojciechowski;1950-10-03;Miasto
321;Ignacy;Wieczorek;1974-11-13;Wies
322;Andrzej;Wrobel;1952-06-12;Wies
323;Wiktor;Rutkowski;1969-09-16;Miasto
324;Ryszard;Kozlowski;2004-03-26;Miasto
325;Karol;Witkowski;1967-06-07;Wies
326;Artur;Nowicki;1990-08-11;Wies
327;Grzegorz;Szymanski;1974-12-20;Wies
328;Zbigniew;Ostrowski;1966-04-09;Wies
329;Nikodem;Adamczyk;2000-03-24;Miasto
330;Wiktor;Wojcik;1981-01-12;Wies
331;Ryszard;Jankowski;1984-12-22;Miasto
332;Filip;Kowalczyk;1985-03-22;Wies
333;Henryk;Jablonski;1965-09-13;Wies
334;Mateusz;Kowalski;1987-04-28;Wies
335;Aleksander;Grabowski;1979-06-13;Miasto
336;Adam;Olszewski;2002-06-05;Wies
337;Jan;Nowicki;1970-08-06;Miasto
338;Andrzej;Piotrowski;1997-06-11;Miasto
339;Tadeusz;Wisniewski;1977-12-23;Wies
340;Tomasz;Majewski;1993-01-09;Wies
341;Karol;Grabowski;1958-09-23;Wies
342;Krzysztof;Gorski;1998-10-18;Wies
343;Mariusz;Ostrowski;1995-06-01;Wies
344;Maksymilian;Wroblewski;1995-06-11;Wies
345;Rafal;Baran;1969-04-06;Wies
346;Rafal;Jaworski;1995-01-22;Wies
347;Pawel;Baran;1968-07-31;Wies
348;Adam;Wisniewski;1952-01-07;Miasto
349;Stanislaw;Adamczyk;1990-11-05;Miasto
350;Kamil;Dudek;1951-11-25;Miasto
351;Zbigniew;Stepien;1972-07-11;Miasto
352;Tadeusz;Pawlowski;1976-07-09;Miasto
353;Wiktor;Michalski;2004-01-19;Miasto
354;Krzysztof;Kwiatkowski;1950-03-07;Miasto
355;Mikolaj;Grabowski;1996-12-11;Miasto
356;Piotr;Majewski;1982-03-08;Wies
357;Szymon;Dabrowski;1969-02-04;Miasto
358;Wojciech;Baran;1965-05-12;Miasto
359;Dominik;Jablonski;1963-09-09;Miasto
360;Jacek;Pawlowski;2000-05-22;Miasto
361;Wojciech;Lewandowski;1966-11-19;Miasto
362;Marcin;Kaminski;1956-07-27;Wies
363;Gabriel;Malinowski;2000-01-06;Miasto
364;Aleksander;Nowak;1996-02-09;Wies
365;Robert;Walczak;1960-07-31;Miasto
366;Jakub;Tomaszewski;1975-12-02;Wies
367;Wojciech;Kowalski;1987-08-31;Miasto
368;Artur;Pietrzak;1996-01-17;Wies
369;Stanislaw;Stepien;1976-08-20;Miasto
370;Franciszek;Nowak;1962-04-14;Wies
371;Karol;Adamczyk;1979-12-21;Wies
372;Dariusz;Kaminski;1958-03-05;Wies
373;Aleksander;Olszewski;1975-07-23;Wies
374;Kazimierz;Michalski;1963-03-06;Wies
375;Tomasz;Zielinski;2005-10-03;Miasto
376;Kacper;Jablonski;2002-08-02;Miasto
377;Dariusz;Krol;2000-06-16;Wies
378;Maksymilian;Pawlak;2002-10-14;Wies
379;Mariusz;Zielinski;1992-11-24;Wies
380;Jerzy;Pawlowski;1962-09-03;Wies
381;Ignacy;Grabowski;1964-11-04;Miasto
382;Kacper;Tomaszewski;1950-08-05;Miasto
383;Michal;Gorski;1951-01-24;Miasto
384;Dariusz;Wieczorek;1975-06-27;Wies
385;Mariusz;Baran;1989-03-14;Wies
386;Mariusz;Malinowski;1953-01-15;Wies
387;Patryk;Jankowski;1963-03-15;Wies
388;Jacek;Wojcik;1973-12-02;Wies
389;Grzegorz;Dudek;1951-03-24;Miasto
390;Mikolaj;Gorski;2002-11-27;Wies
391;Kamil;Walczak;1978-01-31;Miasto
392;Henryk;Zajac;1967-03-02;Wies
393;Marcin;Majewski;1993-10-01;Miasto
394;Jan;Majewski;1993-12-05;Wies
395;Michal;Stepien;1964-04-28;Wies
396;Lukasz;Kozlowski;1998-01-17;Miasto
397;Andrzej;Jaworski;2004-12-28;Miasto
398;Michal;Jankowski;1989-10-15;Miasto
399;Piotr;Zielinski;1989-07-19;Wies
400;Dawid;Stepien;1983-02-14;Wies
401;Lukasz;Witkowski;2005-10-17;Miasto
402;Pawel;Jaworski;1973-07-23;Miasto
403;Artur;Sikora;1991-05-20;Miasto
404;Jerzy;Wojcik;2003-10-23;Miasto
405;Karol;Dabrowski;1972-12-07;Miasto
406;Dominik;Rutkowski;1988-11-16;Wies
407;Pawel;Michalak;1980-12-20;Miasto
408;Wiktor;Piotrowski;1996-07-24;Miasto
409;Grzegorz;Kaminski;1972-12-26;Miasto
410;Stanislaw;Wroblewski;1977-11-18;Wies
411;Piotr;Zajac;1952-04-22;Wies
412;Zbigniew;Michalski;2003-11-05;Wies
413;Damian;Tomaszewski;1972-10-09;Miasto
414;Marcin;Dudek;1988-06-27;Miasto
415;Jozef;Sikora;1992-01-10;Miasto
416;Jan;Wrobel;1962-12-20;Miasto
417;Filip;Wisniewski;1993-12-21;Miasto
418;Karol;Wojciechowski;1954-12-29;Wies
419;Ignacy;Piotrowski;1983-01-07;Miasto
420;Artur;Nowak;1954-09-03;Wies
421;Marcin;Wozniak;1955-10-02;Wies
422;Maciej;Adamczyk;1957-08-12;Miasto
423;Marcin;Lewandowski;1979-10-30;Miasto
424;Maciej;Wojcik;2006-01-05;Wies
425;Aleksander;Ostrowski;1966-03-16;Miasto
426;Antoni;Wojciechowski;1980-08-15;Miasto
427;Dominik;Jankowski;1955-04-01;Miasto
428;Rafal;Kaminski;1951-07-13;Miasto
429;Gabriel;Wojcik;1961-12-15;Miasto
430;Mateusz;Wozniak;1958-08-13;Wies
431;Jozef;Wrobel;1993-08-28;Wies
432;Piotr;Baran;1988-02-19;Miasto
433;Zbigniew;Mazur;1953-01-30;Wies
434;Tadeusz;Zielinski;1967-12-03;Wies
435;Lukasz;Rutkowski;1956-02-29;Miasto
436;Stanislaw;Gorski;1964-03-26;Miasto
437;Leon;Wroblewski;1964-02-15;Wies
438;Wojciech;Gorski;2001-09-10;Wies
439;Szymon;Kaczmarek;1965-10-09;Wies
440;Tomasz;Malinowski;1995-03-29;Miasto
441;Filip;Wozniak;1975-08-09;Miasto
442;Jerzy;Rutkowski;2006-09-19;Wies
443;Krzysztof;Wojciechowski;1984-10-25;Wies
444;Jacek;Krol;1973-01-17;Miasto
445;Krzysztof;Nowakowski;1971-01-16;Miasto
446;Marek;Jankowski;1955-09-01;Wies
447;Dawid;Kaminski;1965-10-06;Miasto
448;Grzegorz;Gorski;1980-01-23;Miasto
449;Tadeusz;Krol;1972-03-30;Miasto
450;Tadeusz;Kaminski;2001-08-09;Wies
451;Dawid;Nowicki;1964-06-20;Miasto
452;Marek;Nowak;1997-05-31;Wies
453;Adam;Gorski;1966-07-11;Wies
454;Artur;Michalski;1956-06-11;Wies
455;Mikolaj;Zajac;2000-08-07;Miasto
456;Franciszek;Ostrowski;1973-01-04;Miasto
457;Dawid;Pawlak;2004-09-26;Wies
458;Robert;Ostrowski;1981-03-20;Wies
459;Nikodem;Kaczmarek;1996-11-21;Miasto
460;Grzegorz;Michalak;1987-03-08;Wies
461;Zbigniew;Dabrowski;1959-05-28;Miasto
462;Maciej;Wozniak;1972-03-04;Wies
463;Sebastian;Kaminski;1993-04-21;Wies
464;Adam;Pawlak;1964-03-22;Wies
465;Karol;Sikora;2002-02-01;Miasto
466;Gabriel;Jankowski;1960-04-08;Wies
467;Krzysztof;Kaminski;1952-12-15;Wies
468;Mariusz;Michalski;1988-12-05;Miasto
469;Ryszard;Szewczyk;1991-03-15;Miasto
470;Tomasz;Witkowski;1979-09-27;Wies
471;Ryszard;Michalski;1981-09-19;Miasto
472;Mikolaj;Nowakowski;1962-02-23;Miasto
473;Damian;Jankowski;1956-07-13;Miasto
474;Leon;Wozniak;1960-10-28;Miasto
475;Karol;Dudek;1954-04-04;Miasto
476;Jerzy;Kozlowski;1972-04-25;Miasto
477;Kamil;Mazur;1986-02-04;Wies
478;Adam;Ostrowski;1971-08-29;Wies
479;Lukasz;Walczak;1988-10-25;Miasto
480;Mateusz;Michalski;1964-03-24;Wies
481;Tadeusz;Jankowski;1981-12-05;Miasto
482;Adam;Michalski;1954-03-19;Miasto
483;Mikolaj;Jankowski;1969-05-19;Wies
484;Nikodem;Pawlak;2000-05-02;Wies
485;Mateusz;Olszewski;1959-07-03;Miasto
486;Antoni;Wisniewski;2001-10-18;Miasto
487;Piotr;Walczak;1967-06-08;Wies
488;Rafal;Wisniewski;2001-02-15;Miasto
489;Nikodem;Wrobel;1994-05-13;Wies
490;Kacper;Wroblewski;1979-12-30;Miasto
491;Karol;Kwiatkowski;1979-07-15;Wies
492;Franciszek;Jaworski;1988-11-02;Miasto
493;Damian;Wozniak;1951-05-18;Wies
494;Aleksander;Adamczyk;1966-08-08;Wies
495;Jan;Wroblewski;1984-02-11;Miasto
496;Maksymilian;Kaminski;1962-11-04;Miasto
497;Lukasz;Gorski;1985-08-11;Miasto
498;Krzysztof;Kowalczyk;1989-06-11;Wies
499;Wojciech;Kwiatkowski;1994-07-06;Wies
500;Jakub;Witkowski;1988-10-11;Wies
501;Dominik;Michalak;2001-12-23;Wies
502;Filip;Adamczyk;1996-11-16;Miasto
503;Sebastian;Kowalski;1998-06-15;Miasto
504;Ignacy;Kowalski;1965-02-16;Wies
505;Dariusz;Nowicki;1980-09-28;Wies
506;Jacek;Ostrowski;1954-10-26;Miasto
507;Andrzej;Olszewski;1973-10-26;Wies
508;Jerzy;Kwiatkowski;1997-05-07;Miasto
509;Dariusz;Olszewski;1960-06-13;Miasto
510;Stanislaw;Wojcik;1958-04-17;Wies
511;Dariusz;Wroblewski;1996-10-20;Miasto
512;Mariusz;Nowicki;1960-11-28;Miasto
513;Jozef;Kaminski;1990-06-26;Wies
514;Robert;Jankowski;1958-09-21;Wies
515;Mikolaj;Michalak;1953-05-07;Wies
516;Tadeusz;Wojciechowski;1972-07-11;Miasto
517;Patryk;Pietrzak;1957-07-11;Wies
518;Henryk;Michalak;1997-06-11;Wies
519;Mikolaj;Wozniak;1950-09-09;Wies
520;Adam;Baran;1950-07-01;Wies
521;Wojciech;Malinowski;1963-04-26;Wies
522;Kazimierz;Wrobel;1967-08-04;Wies
523;Sebastian;Olszewski;1974-09-13;Miasto
524;Patryk;Kaczmarek;1968-06-27;Miasto
525;Franciszek;Sikora;1958-06-22;Miasto
526;Ryszard;Mazur;1978-12-31;Miasto
527;Stanislaw;Krawczyk;1964-05-24;Miasto
528;Patryk;Wojciechowski;1985-11-18;Miasto
529;Robert;Wozniak;1957-02-24;Wies
530;Andrzej;Kowalczyk;1978-07-11;Miasto
531;Pawel;Walczak;1987-02-13;Wies
532;Jozef;Wojcik;1981-06-06;Wies
533;Henryk;Majewski;1953-10-22;Wies
534;Lukasz;Pawlowski;1976-04-04;Wies
535;Marcin;Wisniewski;1982-02-07;Miasto
536;Pawel;Nowak;2006-02-03;Miasto
537;Szymon;Jablonski;2003-07-20;Miasto
538;Jakub;Nowicki;1986-07-23;Miasto
539;Ignacy;Pawlowski;1979-07-01;Miasto
540;Krzysztof;Zielinski;1959-06-09;Miasto
541;Damian;Sikora;1996-03-20;Miasto
542;Stanislaw;Jankowski;1952-05-13;Wies
543;Kazimierz;Kaminski;1973-01-28;Wies
544;Mariusz;Walczak;1970-03-21;Miasto
545;Tomasz;Stepien;1963-07-18;Wies
546;Antoni;Michalski;1996-04-29;Wies
547;Michal;Zalewski;1999-06-12;Miasto
548;Dawid;Majewski;2000-05-19;Miasto
549;Piotr;Jankowski;1994-12-13;Wies
550;Karol;Krol;1977-09-16;Wies
551;Kacper;Wojcik;1954-05-15;Miasto
552;Maksymilian;Wozniak;1962-08-13;Miasto
553;Michal;Krol;1992-03-24;Miasto
554;Ignacy;Pawlak;1963-02-13;Wies
